Temperature,H0,Q_OrderParameter
2.7000,1.3000,0.0075
2.6000,1.3000,0.0072
2.5000,1.3000,0.0071
2.4000,1.3000,0.0073
2.3000,1.3000,0.0074
2.2000,1.3000,0.0072
2.1000,1.3000,0.0069
2.0000,1.3000,0.0066
1.9000,1.3000,0.0065
1.8000,1.3000,0.0080
1.7000,1.3000,0.0070
1.6000,1.3000,0.0070
1.5000,1.3000,0.0045
1.4000,1.3000,0.0067
1.3000,1.3000,0.0064
1.2000,1.3000,0.0082
1.1000,1.3000,0.0102
1.0000,1.3000,0.0096
0.9000,1.3000,0.0108
0.8000,1.3000,0.0156
0.7000,1.3000,0.0139
0.6000,1.3000,0.0123
3.0000,1.4000,0.0059
2.9000,1.4000,0.0053
2.8000,1.4000,0.0063
2.7000,1.4000,0.0047
2.6000,1.4000,0.0059
2.5000,1.4000,0.0050
2.4000,1.4000,0.0069
2.3000,1.4000,0.0061
2.2000,1.4000,0.0066
2.1000,1.4000,0.0070
2.0000,1.4000,0.0056
1.9000,1.4000,0.0060
1.8000,1.4000,0.0054
1.7000,1.4000,0.0080
1.6000,1.4000,0.0063
1.5000,1.4000,0.0083
1.4000,1.4000,0.0060
1.3000,1.4000,0.0093
1.2000,1.4000,0.0079
1.1000,1.4000,0.0089
1.0000,1.4000,0.0095
0.9000,1.4000,0.0106
0.8000,1.4000,0.0103
0.7000,1.4000,0.0137
0.6000,1.4000,0.0153
3.0000,1.5000,0.0068
2.9000,1.5000,0.0033
2.8000,1.5000,0.0045
2.7000,1.5000,0.0072
2.6000,1.5000,0.0042
2.5000,1.5000,0.0059
2.4000,1.5000,0.0062
2.3000,1.5000,0.0065
2.2000,1.5000,0.0061
2.1000,1.5000,0.0050
2.0000,1.5000,0.0053
1.9000,1.5000,0.0064
1.8000,1.5000,0.0064
1.7000,1.5000,0.0086
1.6000,1.5000,0.0059
1.5000,1.5000,0.0057
1.4000,1.5000,0.0069
1.3000,1.5000,0.0071
1.2000,1.5000,0.0055
1.1000,1.5000,0.0067
1.0000,1.5000,0.0087
0.9000,1.5000,0.0128
0.8000,1.5000,0.0152
0.7000,1.5000,0.0092
0.6000,1.5000,0.0133
3.0000,1.6000,0.0046
2.9000,1.6000,0.0070
2.8000,1.6000,0.0056
2.7000,1.6000,0.0039
2.6000,1.6000,0.0061
2.5000,1.6000,0.0063
2.4000,1.6000,0.0056
2.3000,1.6000,0.0069
2.2000,1.6000,0.0033
2.1000,1.6000,0.0064
2.0000,1.6000,0.0070
1.9000,1.6000,0.0083
1.8000,1.6000,0.0062
1.7000,1.6000,0.0056
1.6000,1.6000,0.0044
1.5000,1.6000,0.0067
1.4000,1.6000,0.0062
1.3000,1.6000,0.0060
1.2000,1.6000,0.0064
1.1000,1.6000,0.0081
1.0000,1.6000,0.0080
0.9000,1.6000,0.0084
0.8000,1.6000,0.0084
0.7000,1.6000,0.0087
0.6000,1.6000,0.0158
3.0000,1.7000,0.0049
2.9000,1.7000,0.0058
2.8000,1.7000,0.0044
2.7000,1.7000,0.0056
2.6000,1.7000,0.0033
2.5000,1.7000,0.0057
2.4000,1.7000,0.0059
2.3000,1.7000,0.0053
2.2000,1.7000,0.0052
2.1000,1.7000,0.0068
2.0000,1.7000,0.0070
1.9000,1.7000,0.0065
1.8000,1.7000,0.0058
1.7000,1.7000,0.0056
1.6000,1.7000,0.0043
1.5000,1.7000,0.0059
1.4000,1.7000,0.0055
1.3000,1.7000,0.0078
1.2000,1.7000,0.0056
1.1000,1.7000,0.0091
1.0000,1.7000,0.0105
0.9000,1.7000,0.0081
0.8000,1.7000,0.0087
0.7000,1.7000,0.0095
0.6000,1.7000,0.0125
3.0000,1.8000,0.0024
2.9000,1.8000,0.0052
2.8000,1.8000,0.0067
2.7000,1.8000,0.0065
2.6000,1.8000,0.0033
2.5000,1.8000,0.0043
2.4000,1.8000,0.0032
2.3000,1.8000,0.0058
2.2000,1.8000,0.0063
2.1000,1.8000,0.0035
2.0000,1.8000,0.0052
1.9000,1.8000,0.0069
1.8000,1.8000,0.0053
1.7000,1.8000,0.0050
1.6000,1.8000,0.0054
1.5000,1.8000,0.0065
1.4000,1.8000,0.0057
1.3000,1.8000,0.0069
1.2000,1.8000,0.0076
1.1000,1.8000,0.0069
1.0000,1.8000,0.0066
0.9000,1.8000,0.0113
0.8000,1.8000,0.0083
0.7000,1.8000,0.0077
0.6000,1.8000,0.0082
3.0000,1.9000,0.0042
2.9000,1.9000,0.0039
2.8000,1.9000,0.0032
2.7000,1.9000,0.0036
2.6000,1.9000,0.0048
2.5000,1.9000,0.0052
2.4000,1.9000,0.0038
2.3000,1.9000,0.0054
2.2000,1.9000,0.0055
2.1000,1.9000,0.0050
2.0000,1.9000,0.0061
1.9000,1.9000,0.0062
1.8000,1.9000,0.0050
1.7000,1.9000,0.0058
1.6000,1.9000,0.0049
1.5000,1.9000,0.0050
1.4000,1.9000,0.0054
1.3000,1.9000,0.0062
1.2000,1.9000,0.0068
1.1000,1.9000,0.0071
1.0000,1.9000,0.0084
0.9000,1.9000,0.0068
0.8000,1.9000,0.0071
0.7000,1.9000,0.0089
0.6000,1.9000,0.0084
