Temperature,H0,Q_OrderParameter
2.7000,1.4000,0.0048
2.6000,1.4000,0.0062
2.5000,1.4000,0.0040
2.4000,1.4000,0.0055
2.3000,1.4000,0.0046
2.2000,1.4000,0.0048
2.1000,1.4000,0.0048
2.0000,1.4000,0.0070
1.9000,1.4000,0.0051
1.8000,1.4000,0.0059
1.7000,1.4000,0.0067
1.6000,1.4000,0.0061
1.5000,1.4000,0.0045
1.4000,1.4000,0.0046
1.3000,1.4000,0.0043
1.2000,1.4000,0.0052
1.1000,1.4000,0.0068
1.0000,1.4000,0.0070
0.9000,1.4000,0.0061
0.8000,1.4000,0.0084
0.7000,1.4000,0.0110
0.6000,1.4000,0.0085
3.0000,1.5000,0.0050
2.9000,1.5000,0.0049
2.8000,1.5000,0.0050
2.7000,1.5000,0.0055
2.6000,1.5000,0.0054
2.5000,1.5000,0.0060
2.4000,1.5000,0.0059
2.3000,1.5000,0.0043
2.2000,1.5000,0.0069
2.1000,1.5000,0.0053
2.0000,1.5000,0.0063
1.9000,1.5000,0.0055
1.8000,1.5000,0.0053
1.7000,1.5000,0.0044
1.6000,1.5000,0.0038
1.5000,1.5000,0.0038
1.4000,1.5000,0.0049
1.3000,1.5000,0.0055
1.2000,1.5000,0.0048
1.1000,1.5000,0.0065
1.0000,1.5000,0.0074
0.9000,1.5000,0.0081
0.8000,1.5000,0.0093
0.7000,1.5000,0.0076
0.6000,1.5000,0.0090
3.0000,1.6000,0.0047
2.9000,1.6000,0.0041
2.8000,1.6000,0.0044
2.7000,1.6000,0.0049
2.6000,1.6000,0.0058
2.5000,1.6000,0.0048
2.4000,1.6000,0.0051
2.3000,1.6000,0.0049
2.2000,1.6000,0.0043
2.1000,1.6000,0.0064
2.0000,1.6000,0.0053
1.9000,1.6000,0.0057
1.8000,1.6000,0.0050
1.7000,1.6000,0.0056
1.6000,1.6000,0.0053
1.5000,1.6000,0.0051
1.4000,1.6000,0.0033
1.3000,1.6000,0.0040
1.2000,1.6000,0.0064
1.1000,1.6000,0.0053
1.0000,1.6000,0.0068
0.9000,1.6000,0.0065
0.8000,1.6000,0.0057
0.7000,1.6000,0.0057
0.6000,1.6000,0.0059
3.0000,1.7000,0.0043
2.9000,1.7000,0.0042
2.8000,1.7000,0.0038
2.7000,1.7000,0.0042
2.6000,1.7000,0.0055
2.5000,1.7000,0.0052
2.4000,1.7000,0.0034
2.3000,1.7000,0.0042
2.2000,1.7000,0.0038
2.1000,1.7000,0.0050
2.0000,1.7000,0.0067
1.9000,1.7000,0.0045
1.8000,1.7000,0.0039
1.7000,1.7000,0.0049
1.6000,1.7000,0.0044
1.5000,1.7000,0.0046
1.4000,1.7000,0.0063
1.3000,1.7000,0.0057
1.2000,1.7000,0.0056
1.1000,1.7000,0.0059
1.0000,1.7000,0.0041
0.9000,1.7000,0.0062
0.8000,1.7000,0.0087
0.7000,1.7000,0.0078
0.6000,1.7000,0.0090
3.0000,1.8000,0.0035
2.9000,1.8000,0.0039
2.8000,1.8000,0.0032
2.7000,1.8000,0.0040
2.6000,1.8000,0.0042
2.5000,1.8000,0.0039
2.4000,1.8000,0.0040
2.3000,1.8000,0.0045
2.2000,1.8000,0.0068
2.1000,1.8000,0.0041
2.0000,1.8000,0.0047
1.9000,1.8000,0.0048
1.8000,1.8000,0.0046
1.7000,1.8000,0.0050
1.6000,1.8000,0.0041
1.5000,1.8000,0.0063
1.4000,1.8000,0.0033
1.3000,1.8000,0.0059
1.2000,1.8000,0.0054
1.1000,1.8000,0.0057
1.0000,1.8000,0.0051
0.9000,1.8000,0.0056
0.8000,1.8000,0.0077
0.7000,1.8000,0.0044
0.6000,1.8000,0.0067
3.0000,1.9000,0.0044
2.9000,1.9000,0.0036
2.8000,1.9000,0.0033
2.7000,1.9000,0.0034
2.6000,1.9000,0.0048
2.5000,1.9000,0.0040
2.4000,1.9000,0.0039
2.3000,1.9000,0.0031
2.2000,1.9000,0.0045
2.1000,1.9000,0.0044
2.0000,1.9000,0.0043
1.9000,1.9000,0.0036
1.8000,1.9000,0.0050
1.7000,1.9000,0.0037
1.6000,1.9000,0.0056
1.5000,1.9000,0.0049
1.4000,1.9000,0.0040
1.3000,1.9000,0.0051
1.2000,1.9000,0.0049
1.1000,1.9000,0.0059
1.0000,1.9000,0.0047
0.9000,1.9000,0.0045
0.8000,1.9000,0.0065
0.7000,1.9000,0.0062
0.6000,1.9000,0.0049
