Temperature,H0,Q_OrderParameter
1.8000,1.4000,0.0056
1.7000,1.4000,0.0068
1.6000,1.4000,0.0074
1.5000,1.4000,0.0068
1.4000,1.4000,0.0062
1.3000,1.4000,0.0082
1.2000,1.4000,0.0085
1.1000,1.4000,0.0099
1.0000,1.4000,0.0096
0.9000,1.4000,0.0120
0.8000,1.4000,0.0122
0.7000,1.4000,0.0156
0.6000,1.4000,0.0136
3.0000,1.5000,0.0051
2.9000,1.5000,0.0055
2.8000,1.5000,0.0062
2.7000,1.5000,0.0050
2.6000,1.5000,0.0042
2.5000,1.5000,0.0061
2.4000,1.5000,0.0062
2.3000,1.5000,0.0061
2.2000,1.5000,0.0076
2.1000,1.5000,0.0057
2.0000,1.5000,0.0063
1.9000,1.5000,0.0058
1.8000,1.5000,0.0067
1.7000,1.5000,0.0041
1.6000,1.5000,0.0060
1.5000,1.5000,0.0064
1.4000,1.5000,0.0058
1.3000,1.5000,0.0074
1.2000,1.5000,0.0094
1.1000,1.5000,0.0087
1.0000,1.5000,0.0095
0.9000,1.5000,0.0109
0.8000,1.5000,0.0112
0.7000,1.5000,0.0126
0.6000,1.5000,0.0132
3.0000,1.6000,0.0056
2.9000,1.6000,0.0062
2.8000,1.6000,0.0051
2.7000,1.6000,0.0054
2.6000,1.6000,0.0060
2.5000,1.6000,0.0070
2.4000,1.6000,0.0060
2.3000,1.6000,0.0074
2.2000,1.6000,0.0070
2.1000,1.6000,0.0055
2.0000,1.6000,0.0053
1.9000,1.6000,0.0063
1.8000,1.6000,0.0064
1.7000,1.6000,0.0037
1.6000,1.6000,0.0081
1.5000,1.6000,0.0067
1.4000,1.6000,0.0041
1.3000,1.6000,0.0071
1.2000,1.6000,0.0087
1.1000,1.6000,0.0060
1.0000,1.6000,0.0114
0.9000,1.6000,0.0084
0.8000,1.6000,0.0089
0.7000,1.6000,0.0115
0.6000,1.6000,0.0117
3.0000,1.7000,0.0053
2.9000,1.7000,0.0065
2.8000,1.7000,0.0044
2.7000,1.7000,0.0045
2.6000,1.7000,0.0048
2.5000,1.7000,0.0053
2.4000,1.7000,0.0046
2.3000,1.7000,0.0055
2.2000,1.7000,0.0059
2.1000,1.7000,0.0051
2.0000,1.7000,0.0064
1.9000,1.7000,0.0047
1.8000,1.7000,0.0063
1.7000,1.7000,0.0063
1.6000,1.7000,0.0051
1.5000,1.7000,0.0051
1.4000,1.7000,0.0083
1.3000,1.7000,0.0055
1.2000,1.7000,0.0064
1.1000,1.7000,0.0069
1.0000,1.7000,0.0077
0.9000,1.7000,0.0076
0.8000,1.7000,0.0084
0.7000,1.7000,0.0102
0.6000,1.7000,0.0109
3.0000,1.8000,0.0032
2.9000,1.8000,0.0053
2.8000,1.8000,0.0044
2.7000,1.8000,0.0059
2.6000,1.8000,0.0058
2.5000,1.8000,0.0037
2.4000,1.8000,0.0054
2.3000,1.8000,0.0079
2.2000,1.8000,0.0064
2.1000,1.8000,0.0051
2.0000,1.8000,0.0048
1.9000,1.8000,0.0054
1.8000,1.8000,0.0053
1.7000,1.8000,0.0044
1.6000,1.8000,0.0061
1.5000,1.8000,0.0050
1.4000,1.8000,0.0060
1.3000,1.8000,0.0078
1.2000,1.8000,0.0052
1.1000,1.8000,0.0079
1.0000,1.8000,0.0071
0.9000,1.8000,0.0101
0.8000,1.8000,0.0083
0.7000,1.8000,0.0087
0.6000,1.8000,0.0120
3.0000,1.9000,0.0041
2.9000,1.9000,0.0039
2.8000,1.9000,0.0048
2.7000,1.9000,0.0041
2.6000,1.9000,0.0047
2.5000,1.9000,0.0050
2.4000,1.9000,0.0055
2.3000,1.9000,0.0056
2.2000,1.9000,0.0040
2.1000,1.9000,0.0047
2.0000,1.9000,0.0053
1.9000,1.9000,0.0045
1.8000,1.9000,0.0047
1.7000,1.9000,0.0048
1.6000,1.9000,0.0050
1.5000,1.9000,0.0067
1.4000,1.9000,0.0084
1.3000,1.9000,0.0050
1.2000,1.9000,0.0064
1.1000,1.9000,0.0093
1.0000,1.9000,0.0066
0.9000,1.9000,0.0061
0.8000,1.9000,0.0077
0.7000,1.9000,0.0101
0.6000,1.9000,0.0087
